timestamp,task,run_name,epoch,train_loss,chrF,BLEU,model_size,lora_r,lora_alpha,lora_init_method,lora_init_scale,lora_svd_scale,batch_size,lr,epochs,temperature,top_p,fine_tune_mode,attention_mean,attention_std,lora_a_mean,lora_a_std,lora_b_mean,lora_b_std,note
2026-06-12T17:40:20.697592,sonnet_generation,1-1e-05-sonnet.pt,0,5.2186726121341485,26.48804506741379,0.32556254475014323,gpt2,8,16.0,svd,0.01,0.01,8,1e-05,1,1.2,0.9,lora,9.143001079792157e-06,0.140842005610466,4.976028321834747e-06,0.0012278173817321658,-3.9122405723901466e-06,0.0012272624298930168,
2026-06-12T19:13:52.889701,sonnet_generation,1-1e-05-sonnet.pt,0,5.2186726121341485,26.48804506741379,0.32556254475014323,gpt2,8,16.0,svd,0.01,0.01,8,1e-05,1,1.2,0.9,lora,9.143001079792157e-06,0.140842005610466,4.976028321834747e-06,0.0012278173817321658,-3.9122405723901466e-06,0.0012272624298930168,
2026-06-12T19:15:26.954307,sonnet_generation,1-1e-05-sonnet.pt,0,4.807469115537756,19.54790213636959,0.2425227768445064,gpt2,4,32.0,default,0.01,0.01,8,1e-05,1,1.2,0.9,full,,,,,,,
2026-06-12T19:17:38.732768,sonnet_generation,1-1e-05-sonnet.pt,0,4.783434839809642,18.02843601341359,0.21063662002156444,gpt2,0,32.0,default,0.01,0.01,8,1e-05,1,1.2,0.9,full,,,,,,,
2026-06-13T09:30:08.739454,sonnet_generation,1-1e-05-sonnet.pt,0,4.807469115537756,19.54790213636959,0.2425227768445064,gpt2,4,32.0,default,0.01,0.01,8,1e-05,1,1.2,0.9,full,,,,,,,
2026-06-13T09:31:13.145204,sonnet_generation,1-1e-05-sonnet.pt,0,4.783434839809642,18.02843601341359,0.21063662002156444,gpt2,0,32.0,default,0.01,0.01,8,1e-05,1,1.2,0.9,full,,,,,,,
2026-06-13T09:35:19.505277,sonnet_generation,1-1e-05-sonnet.pt,0,4.783434839809642,18.02843601341359,0.21063662002156444,gpt2,0,32.0,default,0.01,0.01,8,1e-05,1,1.2,0.9,full,,,,,,,3.6278910636901855,
2026-06-13T09:43:40.228817,sonnet_generation,10-1e-05-sonnet.pt,0,4.783434839809642,18.02843601341359,0.21063662002156444,gpt2,0,32.0,default,0.01,0.01,8,1e-05,10,1.2,0.9,full,,,,,,,3.5611579418182373,
2026-06-13T09:43:57.448342,sonnet_generation,10-1e-05-sonnet.pt,1,4.436276043162627,21.118234559822014,0.27950294650435104,gpt2,0,32.0,default,0.01,0.01,8,1e-05,10,1.2,0.9,full,,,,,,,3.5296132564544678,
2026-06-13T09:44:14.823084,sonnet_generation,10-1e-05-sonnet.pt,2,4.281517197104061,21.725113605563585,0.24230368357035928,gpt2,0,32.0,default,0.01,0.01,8,1e-05,10,1.2,0.9,full,,,,,,,3.698683023452759,
2026-06-13T09:44:35.562773,sonnet_generation,10-1e-05-sonnet.pt,3,4.176051322151633,24.532161022309015,0.29997545277197857,gpt2,0,32.0,default,0.01,0.01,8,1e-05,10,1.2,0.9,full,,,,,,,3.732651948928833,
2026-06-13T09:44:57.276354,sonnet_generation,10-1e-05-sonnet.pt,4,4.088434008991017,25.221191728528165,0.29451887971303475,gpt2,0,32.0,default,0.01,0.01,8,1e-05,10,1.2,0.9,full,,,,,,,3.593491792678833,
2026-06-13T09:45:19.690929,sonnet_generation,10-1e-05-sonnet.pt,5,4.044844038346234,26.63745042135796,0.3306357856229262,gpt2,0,32.0,default,0.01,0.01,8,1e-05,10,1.2,0.9,full,,,,,,,3.7319743633270264,
2026-06-13T09:45:42.900697,sonnet_generation,10-1e-05-sonnet.pt,6,3.983313055599437,26.851320421846857,0.35319212372134234,gpt2,0,32.0,default,0.01,0.01,8,1e-05,10,1.2,0.9,full,,,,,,,3.5739076137542725,
2026-06-13T09:46:06.320191,sonnet_generation,10-1e-05-sonnet.pt,7,3.938842535018921,27.433948830454963,0.3495133018719797,gpt2,0,32.0,default,0.01,0.01,8,1e-05,10,1.2,0.9,full,,,,,,,3.62858247756958,
2026-06-13T09:46:28.775938,sonnet_generation,10-1e-05-sonnet.pt,8,3.91071751538445,26.920264601808057,0.36588950788582536,gpt2,0,32.0,default,0.01,0.01,8,1e-05,10,1.2,0.9,full,,,,,,,3.578009843826294,
2026-06-13T09:46:52.066354,sonnet_generation,10-1e-05-sonnet.pt,9,3.871577767764821,27.431103994596377,0.5029097904386504,gpt2,0,32.0,default,0.01,0.01,8,1e-05,10,1.2,0.9,full,,,,,,,3.684824228286743,
2026-06-13T12:31:17.857959,sonnet_generation,1-1e-05-sonnet.pt,0,4.783434839809642,32.4384069086198,15.986375556622841,gpt2,0,32.0,default,0.01,0.01,8,1e-05,1,1.2,0.9,full,,,,,,,3.619779586791992,
2026-06-13T12:35:53.377356,sonnet_generation,1-1e-05-sonnet.pt,0,5.208588207469267,40.0578976076542,22.99797997269792,gpt2,4,32.0,default,0.01,0.01,8,1e-05,1,1.2,0.9,lora,9.143001079792157e-06,0.140842005610466,7.055391506582964e-06,0.019968248903751373,1.4309446783045132e-07,0.00010046189709100872,2.5233094692230225,
2026-06-13T12:44:58.972141,sonnet_generation,1-1e-05-sonnet.pt,0,5.208588207469267,40.0578976076542,22.99797997269792,gpt2,4,32.0,default,0.01,0.01,8,1e-05,1,1.2,0.9,lora,9.143001079792157e-06,0.140842005610466,7.055391506582964e-06,0.019968248903751373,1.4309446783045132e-07,0.00010046189709100872,2.4261069297790527,
2026-06-13T13:00:30.505773,sonnet_generation,1-1e-05-sonnet.pt,0,5.208588207469267,40.0578976076542,22.99797997269792,gpt2,4,32.0,default,0.01,0.01,8,1e-05,1,1.2,0.9,lora,9.143001079792157e-06,0.140842005610466,7.055391506582964e-06,0.019968248903751373,1.4309446783045132e-07,0.00010046189709100872,2.4309322834014893,
2026-06-13T13:06:14.328905,sonnet_generation,1-1e-05-sonnet.pt,0,5.208588207469267,40.0578976076542,22.99797997269792,gpt2,4,32.0,default,0.01,0.01,8,1e-05,1,1.2,0.9,lora,9.143001079792157e-06,0.140842005610466,7.055391506582964e-06,0.019968248903751373,1.4309446783045132e-07,0.00010046189709100872,2.4372751712799072,
